"idSinais";"tipoAspecto";"L1";"L2";"L3";"L4";"L5";"L6";"L7";"L8";"L10";"tower";"interface";"L14";"L15";"L16";"L18";"L19";"L20";"L21";"L22";"L23"
4;"RGE";"B-B-12";"";"";"";"C-D-01";"";"";"";"";"TB2-E-05";"2-B13-22";"";"";"";"";"";"";"";"";""
4;"RGENX";"B-B-10";"";"";"";"C-D-02";"";"";"";"";"TB2-E-04";"2-B13-24";"";"";"";"";"";"";"";"";""
4;"YGE";"B-B-14";"";"";"";"C-D-06";"";"";"";"";"TB2-E-06";"2-B13-26";"";"";"";"";"";"";"";"";""
4;"YGENX";"B-B-16";"";"";"";"C-D-08";"";"";"";"";"TB2-E-07";"2-B13-28";"";"";"";"";"";"";"";"";""
6;"RGE";"";"B-B-36";"";"";"C-C-18";"";"";"";"";"TB2-D-58";"2-B14-22";"";"";"";"";"";"";"";"";""
6;"RGENX";"";"B-B-34";"";"";"C-C-16";"";"";"";"";"TB2-D-59";"2-B14-24";"";"";"";"";"";"";"";"";""
6;"YGE";"";"B-B-38";"";"";"C-C-20";"";"";"";"";"TB2-D-60";"2-B14-26";"";"";"";"";"";"";"";"";""
6;"YGENX";"";"B-B-40";"";"";"C-C-22";"";"";"";"";"TB2-E-01";"2-B14-28";"";"";"";"";"";"";"";"";""
12;"RGE";"";"";"B-C-11";"";"C-B-44";"";"";"";"";"TB2-E-59";"2-B15-22";"";"";"";"";"";"";"";"";""
12;"RGENX";"";"";"B-C-13";"";"C-B-43";"";"";"";"";"TB2-E-60";"2-B15-24";"";"";"";"";"";"";"";"";""
12;"YGE";"";"";"B-C-13";"";"C-B-43";"";"";"";"";"TB2-E-60";"2-B15-22";"";"";"";"";"";"";"";"";""
12;"YGENX";"";"";"B-C-17";"";"C-B-46";"";"";"";"";"TB2-E-28";"2-B15-28";"";"";"";"";"";"";"";"";""
16;"RGE";"";"";"";"";"B-B-24";"";"";"";"";"TB2-C-10";"2-B16-22";"";"";"";"";"";"";"";"";""
16;"RGENX";"";"";"";"";"B-B-22";"";"";"";"";"TB2-C-09";"2-B16-24";"";"";"";"";"";"";"";"";""
16;"YGE";"";"";"";"";"B-B-26";"";"";"";"";"TB2-C-11";"2-B16-26";"";"";"";"";"";"";"";"";""
16;"YGENX";"";"";"";"";"B-B-28";"";"";"";"";"TB2-C-12";"2-B16-28";"";"";"";"";"";"";"";"";""
20;"RGE";"";"";"";"";"";"B-B-34";"";"";"";"TB2-C-04";"2-B17-22";"";"";"";"";"";"";"";"";""
20;"RGENX";"";"";"";"";"";"B-B-32";"";"";"";"TB2-C-03";"2-B17-24";"";"";"";"";"";"";"";"";""
20;"YGE";"";"";"";"";"";"B-B-36";"";"";"";"TB2-C-05";"2-B17-22";"";"";"";"";"";"";"";"";""
20;"YGENX";"";"";"";"";"";"B-B-38";"";"";"";"TB2-C-06";"2-B17-28";"";"";"";"";"";"";"";"";""
22;"RGE";"";"";"";"";"";"B-B-24";"";"";"";"TB2-B-58";"2-B18-22";"";"";"";"";"";"";"";"";""
22;"RGENX";"";"";"";"";"";"B-B-22";"";"";"";"TB2-B-57";"2-B18-24";"";"";"";"";"";"";"";"";""
22;"YGE";"";"";"";"";"";"B-B-26";"";"";"";"TB2-B-59";"2-B18-22";"";"";"";"";"";"";"";"";""
22;"YGENX";"";"";"";"";"";"B-B-28";"";"";"";"TB2-B-60";"2-B18-28";"";"";"";"";"";"";"";"";""
28;"RGE";"";"";"";"";"";"";"";"";"";"";"2-B30-22";"B-B-14";"";"";"";"";"";"";"";""
28;"RGENX";"";"";"";"";"";"";"";"";"";"";"2-B30-24";"B-B-12";"";"";"";"";"";"";"";""
28;"YGE";"";"";"";"";"";"";"";"";"";"";"2-B30-26";"B-B-16";"";"";"";"";"";"";"";""
28;"YGENX";"";"";"";"";"";"";"";"";"";"";"2-B30-28";"B-B-18";"";"";"";"";"";"";"";""
30;"RGE";"";"";"";"";"";"";"";"";"";"TB3-C-28";"2-B24-22";"B-B-32";"";"";"";"";"";"";"";""
30;"RGENX";"";"";"";"";"";"";"";"";"";"TB3-C-27";"2-B24-24";"B-B-30";"";"";"";"";"";"";"";""
30;"YGE";"";"";"";"";"";"";"";"";"";"TB3-C-29";"2-B24-26";"B-B-34";"";"";"";"";"";"";"";""
30;"YGENX";"";"";"";"";"";"";"";"";"";"TB3-C-30";"2-B24-28";"B-B-36";"";"";"";"";"";"";"";""
52;"RGE";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B50-22";"";"";"";"";"";"";"B-C-27";"";""
52;"RGENX";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B50-24";"";"";"";"";"";"";"B-C-25";"";""
52;"YGE";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B50-26";"";"";"";"";"";"";"B-C-29";"";""
52;"YGENX";"";"";"";"";"";"";"";"";"";"TBX-X-XX";"2-B50-28";"";"";"";"";"";"";"B-C-31";"";""
54;"RGE";"";"";"";"";"";"";"";"";"";"TB3-D-57";"2-B51-22";"";"";"";"";"";"";"B-C-15";"";""
54;"RGENX";"";"";"";"";"";"";"";"";"";"TB3-D-XX";"2-B51-24";"";"";"";"";"";"";"B-C-13";"";""
54;"YGE";"";"";"";"";"";"";"";"";"";"TB3-D-58";"2-B51-26";"";"";"";"";"";"";"B-C-17";"";""
54;"YGENX";"";"";"";"";"";"";"";"";"";"TB3-D-59";"2-B51-28";"";"";"";"";"";"";"B-C-19";"";""
